Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent)
41.965791,-74.45236499999999,0,0,0.0,651,2136,2,233,Forest,82
41.96640159099928,-74.45225261788002,69,225,0.042628604863162695,652,2139,6,284,Forest,86
41.96677752207616,-74.45155904742955,140,458,0.0867713829039473,658,2159,6,300,Forest,87
41.96707586412653,-74.45077339708743,213,698,0.13214251684761294,661,2169,5,301,Forest,83
41.96746432013152,-74.45007140375097,285,935,0.17714758902591085,664,2178,3,294,Forest,88
41.96790475475775,-74.4494176644627,358,1175,0.22251876943711887,666,2185,3,234,Forest,85
41.968354795621615,-74.44877844566614,431,1414,0.2677934628015987,668,2192,5,152,Forest,81
41.968888847866076,-74.44826623758965,504,1654,0.3131645803462913,671,2201,2,190,Forest,82
41.96948814322383,-74.44792255135577,577,1891,0.3582291903183438,672,2205,2,270,Forest,83
41.969783020303964,-74.44717323146283,647,2122,0.40183047642451497,672,2205,4,193,Forest,86
41.970029243595356,-74.44635551573495,720,2361,0.44720193621715787,677,2221,3,224,Forest,83
41.97027546729555,-74.44553779864943,793,2601,0.4925733206757289,677,2221,4,156,Forest,82
41.970521691404564,-74.44472008020622,866,2840,0.5379446298005636,678,2224,5,159,Forest,80
41.970767915922394,-74.44390236040532,939,3080,0.5833158635916283,678,2224,4,154,Forest,76
41.97101414084905,-74.44308463924669,1012,3319,0.628687022048397,680,2231,4,180,Forest,84
41.97120740347894,-74.44225038317065,1084,3557,0.6736248114368208,681,2234,3,249,Forest,86
41.97125412566534,-74.44137038094678,1157,3796,0.7189959343566833,684,2244,2,183,Forest,85
41.97130084786879,-74.44049037840182,1230,4036,0.7643670407206934,684,2244,4,169,Forest,86
41.97155186080541,-74.43968755396705,1302,4272,0.8091560749792825,685,2247,6,165,Forest,88
41.97175293049225,-74.4388557320855,1375,4510,0.854138043944462,683,2241,9,144,Forest,87
41.97191407303483,-74.43801103660093,1447,4747,0.8989850279328397,675,2215,28,167,Forest,88
41.972425835939305,-74.43749821566541,1518,4980,0.9431278812473377,684,2244,6,100,Forest,86
41.97293528628211,-74.43698396775869,1589,5212,0.9871864440877333,683,2241,6,227,Forest,84
41.973394997401584,-74.4363558726622,1662,5452,1.0325123557419051,690,2264,12,160,Forest,87
41.973945850259724,-74.43587689114895,1735,5691,1.0778835186104159,698,2290,10,162,Forest,90
41.97449670381994,-74.43539790902523,1808,5931,1.123254623652156,705,2313,7,186,Forest,87
41.97464092604592,-74.43462875921449,1873,6146,1.1640462741217534,706,2316,10,153,Forest,88
41.97439662082616,-74.43382655253555,1945,6382,1.2086262419304017,697,2287,11,148,Forest,86
41.97423031455855,-74.43297309657697,2018,6621,1.2539973336147163,691,2267,11,157,Forest,85
41.97440194711892,-74.43215388331501,2089,6852,1.297765823737419,687,2254,7,151,Forest,74
41.97458901186925,-74.43136396744332,2157,7077,1.3403978172560056,688,2257,7,167,Forest,82
41.974109652589604,-74.43076173442428,2230,7317,1.3857689028439306,682,2238,3,134,Forest,74
41.97404600359853,-74.42994350127202,2298,7540,1.4280760005116016,681,2234,2,296,Forest,82
41.973739632856095,-74.42935791295757,2358,7735,1.4648990206004917,686,2251,7,295,Forest,84
41.97405474829072,-74.42915618670943,2396,7862,1.4890384400302874,685,2247,5,329,Forest,88
